baseline,,bm3,,bm4,,bm53_palmOH_ul_5,,bm53_palmOH_ul_10,,bm53_palmOH_ul_20,,bm53_palmOH_ul_30,,bm53_palmOH_ul_40,,bm53_palmOH_ul_50,,bm53_palmOH_ul_50,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
722.9721069,0.001232002396,722.9721069,-0.02109351568,722.9721069,-0.01935227774,722.9721069,-0.01926834136,722.9721069,-0.01848369837,722.9721069,-0.02021620795,722.9721069,-0.02036280558,722.9721069,-0.02036191523,722.9721069,0.004711209796,722.9721069,0.01753222197,
721.9724121,-0.0006977390731,721.9724121,-0.02032787725,721.9724121,-0.01932950132,721.9724121,-0.02017351054,721.9724121,-0.01927057095,721.9724121,-0.02074598335,721.9724121,-0.02018517442,721.9724121,-0.0204845611,721.9724121,0.006950990297,721.9724121,0.01757427119,
720.9723511,0.0003525546344,720.9723511,-0.0199919939,720.9723511,-0.01924387552,720.9723511,-0.0194090195,720.9723511,-0.01890269108,720.9723511,-0.02001364902,720.9723511,-0.01969904639,720.9723511,-0.02039595135,720.9723511,0.005381032825,720.9723511,0.01728554443,
719.9719238,-0.0002961897699,719.9719238,-0.02107541636,719.9719238,-0.01934811845,719.9719238,-0.01984463073,719.9719238,-0.01942288131,719.9719238,-0.01994586177,719.9719238,-0.02018314786,719.9719238,-0.02106920071,719.9719238,0.006417853758,719.9719238,0.01715938933,
718.9711914,0.0006551760016,718.9711914,-0.02026423998,718.9711914,-0.01938000694,718.9711914,-0.01903724484,718.9711914,-0.01892514527,718.9711914,-0.01971918344,718.9711914,-0.01951540262,718.9711914,-0.02039367892,718.9711914,0.006321632769,718.9711914,0.01734262705,
717.9701538,-0.0003152801655,717.9701538,-0.02164197341,717.9701538,-0.02059354261,717.9701538,-0.02049557306,717.9701538,-0.01996361278,717.9701538,-0.02139124088,717.9701538,-0.02066093311,717.9701538,-0.0218955148,717.9701538,0.005720489658,717.9701538,0.01619792357,
716.968689,0.0003121675109,716.968689,-0.02123882994,716.968689,-0.01984883472,716.968689,-0.0209228918,716.968689,-0.01978730224,716.968689,-0.02070017904,716.968689,-0.02051651292,716.968689,-0.0215482302,716.968689,0.005960500799,716.968689,0.01622678153,
715.9669189,1.959612018E-5,715.9669189,-0.02192337625,715.9669189,-0.02012201026,715.9669189,-0.02029976621,715.9669189,-0.01936792582,715.9669189,-0.02043902315,715.9669189,-0.02090675943,715.9669189,-0.02129808627,715.9669189,0.005536898039,715.9669189,0.01650262438,
714.9648438,0.000198694368,714.9648438,-0.02186848968,714.9648438,-0.02024437487,714.9648438,-0.02121684141,714.9648438,-0.01968395524,714.9648438,-0.02110752091,714.9648438,-0.02120451443,714.9648438,-0.02183215506,714.9648438,0.004840919282,714.9648438,0.01702339016,
713.9624023,0.0003674773034,713.9624023,-0.02110022306,713.9624023,-0.02022451162,713.9624023,-0.02080673724,713.9624023,-0.02035252936,713.9624023,-0.02088475414,713.9624023,-0.02092550695,713.9624023,-0.0219682157,713.9624023,0.004435718991,713.9624023,0.01638693921,
712.9596558,-0.0002688719542,712.9596558,-0.02170521207,712.9596558,-0.01994937286,712.9596558,-0.02148625068,712.9596558,-0.02048702911,712.9596558,-0.02124588005,712.9596558,-0.02104335651,712.9596558,-0.02190196328,712.9596558,0.004075576086,712.9596558,0.01636110619,
