baseline,,bm3_none,,bm3_none1,,lauricacid_10mM_ul05,,lauricacid_10mM_ul5,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
607.9581909,-0.0005014839699,607.9581909,0.1443670541,607.9581909,0.01391945127,607.9581909,0.813162744,607.9581909,1.662334681,
607.0708618,0.0002073702199,607.0708618,0.1458344758,607.0708618,0.01432188321,607.0708618,0.8288818002,607.0708618,1.656145453,
606.0354004,2.785419565E-5,606.0354004,0.1468193531,606.0354004,0.01510870364,606.0354004,0.7982634306,606.0354004,1.664574146,
604.9996948,0.000723156787,604.9996948,0.1487625241,604.9996948,0.01573751308,604.9996948,0.7593266964,604.9996948,1.662650347,
603.963623,0.000329808885,603.963623,0.1497794688,603.963623,0.01615340263,603.963623,0.800206244,603.963623,1.660505295,
602.9273071,0.0002934907097,602.9273071,0.1491898298,602.9273071,0.01597088017,602.9273071,0.7589449286,602.9273071,1.676917672,
602.0388184,0.0002874034399,602.0388184,0.1533283591,602.0388184,0.0168591775,602.0388184,0.7433165312,602.0388184,1.660817862,
601.0019531,5.291414345E-5,601.0019531,0.1554111838,601.0019531,0.01667178608,601.0019531,0.8551099896,601.0019531,1.66874671,
599.9648438,0.0002369471185,599.9648438,0.1579874158,599.9648438,0.01817078888,599.9648438,0.7626134157,599.9648438,1.666272998,
598.9274292,0.000538865861,598.9274292,0.148854807,598.9274292,0.01915565506,598.9274292,0.7987170815,598.9274292,1.662286639,
598.0379639,0.0002535234962,598.0379639,0.1466746181,598.0379639,0.01864132471,598.0379639,0.8107357025,598.0379639,1.671167612,
597.000061,0.0003310782777,597.000061,0.1549714655,597.000061,0.02002344467,597.000061,0.8223019242,597.000061,1.684161067,
