baseline,,samle,,sampledil2,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
469.9263306,0.0001901481737,469.9263306,0.1297774762,469.9263306,0.06547050923,
467.9424438,0.0007361733587,467.9424438,0.1377237141,467.9424438,0.06954855472,
465.9577942,-0.0005556749529,465.9577942,0.1450948864,465.9577942,0.07248789072,
463.9723816,9.648771811E-5,463.9723816,0.1574962586,463.9723816,0.07883550227,
461.9862061,-0.0001126928837,461.9862061,0.1698070765,461.9862061,0.08476267755,
459.9992981,8.985949535E-5,459.9992981,0.1825052351,459.9992981,0.09087048471,
458.0116272,8.361248547E-6,458.0116272,0.200480625,458.0116272,0.1000239998,
456.0232239,4.439670374E-5,456.0232239,0.2177006602,456.0232239,0.1081825495,
454.0340576,-0.0009565712535,454.0340576,0.2360424399,454.0340576,0.1168064624,
452.0441589,-0.0001440573978,452.0441589,0.2607256472,452.0441589,0.1293835938,
450.0535583,-0.001010137377,450.0535583,0.2852877676,450.0535583,0.1408356875,
448.0621948,0.0004558580986,448.0621948,0.3190508187,448.0621948,0.1580855995,
446.0700989,-0.0001119682638,446.0700989,0.3556500077,446.0700989,0.1761719733,
443.9239502,-0.0003870298096,443.9239502,0.3983950019,443.9239502,0.1965302378,
441.9303589,-0.000156581882,441.9303589,0.455294311,441.9303589,0.2239572108,
439.9360657,0.0001493618329,439.9360657,0.5250581503,439.9360657,0.2577792406,
437.94104,-0.0003313692578,437.94104,0.5965422392,437.94104,0.2941718996,
435.945282,0.0002205785713,435.945282,0.7077262998,435.945282,0.3490968645,
433.9488525,-0.0003750809701,433.9488525,0.8320393562,433.9488525,0.4081495404,
431.9516907,-0.0001685884781,431.9516907,0.9726987481,431.9516907,0.4769557416,
429.9538269,-0.0008875506464,429.9538269,1.143980742,429.9538269,0.558432579,
427.9552917,-0.0002772537409,427.9552917,1.295508027,427.9552917,0.635256052,
425.9560242,-0.0004255121166,425.9560242,1.456035495,425.9560242,0.7146039009,
423.9560852,0.0001088900317,423.9560852,1.593675971,423.9560852,0.7806716561,
421.9554443,-2.557458356E-5,421.9554443,1.682394266,421.9554443,0.8237831593,
419.9541321,-0.0001719523279,419.9541321,1.724592209,419.9541321,0.8475096226,
417.9521484,-0.0009738247027,417.9521484,1.704508424,417.9521484,0.8383339047,
415.9494629,-0.0002500899718,415.9494629,1.649226069,415.9494629,0.8117507696,
413.946106,0.0002526687749,413.946106,1.543545961,413.946106,0.7619556189,
411.9420776,-0.0007022876525,411.9420776,1.434582949,411.9420776,0.7061156034,
409.9373779,0.0002371543233,409.9373779,1.299162388,409.9373779,0.6382283568,
407.9320068,-0.0001247524488,407.9320068,1.179262638,407.9320068,0.5806704164,
405.9259644,-0.0001057054324,405.9259644,1.079353809,405.9259644,0.5292534232,
404.0736694,-0.0002871874894,404.0736694,0.9873946905,404.0736694,0.4811957181,
402.0663452,-6.83384178E-6,402.0663452,0.9030255079,402.0663452,0.4426214695,
400.0584106,-0.0003824261948,400.0584106,0.8264198899,400.0584106,0.4042149186,
398.0498047,-4.452158464E-5,398.0498047,0.760656774,398.0498047,0.3715821505,
396.0405579,-0.0001811122347,396.0405579,0.7076224089,396.0405579,0.3460226059,
394.0306702,-0.000199793707,394.0306702,0.6484757066,394.0306702,0.3186072707,
392.0201111,-3.701535752E-5,392.0201111,0.603864193,392.0201111,0.2971032858,
390.0089417,-1.03542643E-5,390.0089417,0.5638893843,390.0089417,0.2788338661,
387.9971619,-0.000376684533,387.9971619,0.5259521008,387.9971619,0.2587059438,
385.9847107,-6.93688562E-5,385.9847107,0.4986194968,385.9847107,0.2473563999,
383.9716492,-3.696358908E-5,383.9716492,0.4740854204,383.9716492,0.2332925797,
381.9579468,5.193035759E-5,381.9579468,0.458267808,381.9579468,0.2250235677,
379.943634,-0.000587627932,379.943634,0.4476136863,379.943634,0.2194718868,
377.9287109,-0.0002289786789,377.9287109,0.4412395954,377.9287109,0.2167215049,
